No,KoreanName,EnglishName,KCD,VCode,Support,PrimarySpecialty,RelatedSpecialties,AllSpecialties,Confidence,Reason
1070,강글리오시드증 NOS,Gangliosidosis NOS,E75.1,V117,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1069,강직인간증후군,Stiff-person[man] syndrome,G25.8,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
1068,"강직척추염, 경부","Ankylosing spondylitis, cervical region",M45.2,V140,의료비(급여부분),정형외과,,정형외과,중상,정형외과: 척추
1067,"강직척추염, 경흉추부","Ankylosing spondylitis, cervicothoracic region",M45.3,V140,의료비(급여부분),이비인후과,정형외과,이비인후과; 정형외과,중,이비인후과: ot | 정형외과: 척추
1066,"강직척추염, 요천부","Ankylosing spondylitis, lumbosacral region",M45.7,V140,의료비(급여부분),정형외과,,정형외과,중상,정형외과: 척추
1065,"강직척추염, 요추부","Ankylosing spondylitis, lumbar region",M45.6,V140,의료비(급여부분),정형외과,,정형외과,중상,정형외과: 척추
1064,"강직척추염, 척추의 여러 부위","Ankylosing spondylitis, multiple sites in spine",M45.0,V140,의료비(급여부분),정형외과,,정형외과,중상,"정형외과: 척추, spine"
1063,"강직척추염, 천추 및 천미추부","Ankylosing spondylitis, sacral and sacrococcygeal region",M45.8,V140,의료비(급여부분),정형외과,,정형외과,중상,정형외과: 척추
1062,"강직척추염, 후두환축부","Ankylosing spondylitis, occipito-atlanto-axial region",M45.1,V140,의료비(급여부분),이비인후과,정형외과,이비인후과; 정형외과,중,이비인후과: 후두 | 정형외과: 척추
1061,"강직척추염, 흉요추부","Ankylosing spondylitis, thoracolumbar region",M45.5,V140,의료비(급여부분),정형외과,,정형외과,중상,정형외과: 척추
1060,"강직척추염, 흉추부","Ankylosing spondylitis, thoracic region",M45.4,V140,의료비(급여부분),정형외과,,정형외과,중상,정형외과: 척추
1059,거대뇌증-다소뇌회증-다지증-수두증 증후군2(AKT3 관련),Megalencephaly-polymicrogyria-polydactyly-hydrocephalus[MPPH] syndrome 2(AKT3 related),없음,V900,의료비(급여부분),신경과,소아청소년과/의학유전학,신경과; 소아청소년과/의학유전학,중상,"신경과: 뇌, 소뇌, encephal | 소아청소년과/의학유전학: 증후군, syndrome"
1058,거대뇌증-모세혈관 기형-다발미세이랑 증후군,Megalencephaly-capillary malformation-polymicrogyria syndrome,없음,V900,의료비(급여부분),신경과,소아청소년과/의학유전학; 심장내과/소아심장과,신경과; 소아청소년과/의학유전학; 심장내과/소아심장과,중,"신경과: 뇌, encephal | 소아청소년과/의학유전학: 증후군, syndrome | 심장내과/소아심장과: 혈관"
1057,거대방광-미세결장-장연동저하 증후군(MMIHS),Megacystis-microcolon-intestinal hypoperistalsis syndrome (MMIHS),없음,V900,의료비(급여부분),소화기내과,소아청소년과/의학유전학; 신장내과,소아청소년과/의학유전학; 소화기내과; 신장내과,중,"소아청소년과/의학유전학: 증후군, syndrome | 소화기내과: intestin, colon | 신장내과: 방광"
1056,거대세포동맥염,Giant cell arteritis,없음,V900,의료비(급여부분),심장내과/소아심장과,,심장내과/소아심장과,중상,심장내과/소아심장과: arter
1055,거의 정상의 면역글로불린 또는 고면역글로불린혈증을 동반한 항체결핍,Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia,D80.6,V111,의료비(급여부분),류마티스내과/면역내과,이비인후과,류마티스내과/면역내과; 이비인후과,중,류마티스내과/면역내과: 면역 | 이비인후과: ear
1054,거짓 부갑상선기능저하증,Pseudohypoparathyroidism,E20.1,V900,의료비(급여부분),내분비대사내과,,내분비대사내과,중상,"내분비대사내과: 갑상선, thyroid"
1053,거짓근긴장증,Pseudomyotonia,G71.1,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",이비인후과,,이비인후과,중상,이비인후과: ot
1052,건조증후군[쉐그렌],Sicca syndrome[Sjögren],M35.0,V139,의료비(급여부분),류마티스내과/면역내과,소아청소년과/의학유전학,소아청소년과/의학유전학; 류마티스내과/면역내과,중상,"소아청소년과/의학유전학: 증후군, syndrome | 류마티스내과/면역내과: 쉐그렌"
1051,결절성 경화증,Tuberous sclerosis,Q85.1,V204,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1050,결절성 다발동맥염,Polyarteritis nodosa,M30.0,V134,의료비(급여부분),심장내과/소아심장과,,심장내과/소아심장과,중상,심장내과/소아심장과: arter
1049,고라이신혈증,Hyperlysinaemia,E72.3,V117,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1048,고류신-이소류신혈증,Hyperleucine-isoleucinaemia,E71.1,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1047,고린-샤우드리-모스 증후군,Gorlin-Chaudhry-Moss syndrome,Q87.0,V185,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
1046,고린증후군,Gorlin syndrome,없음,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
1045,고면역글로불린E증후군,Hyperimmunoglobulin E [IgE] syndrome,D82.4,V111,의료비(급여부분),류마티스내과/면역내과,소아청소년과/의학유전학,소아청소년과/의학유전학; 류마티스내과/면역내과,중상,"소아청소년과/의학유전학: 증후군, syndrome | 류마티스내과/면역내과: 면역"
1044,고밀도침착병을 동반한 신증후군,Nephrotic syndrome with dense deposit disease,N04.6,V263,의료비(급여부분),신장내과,소아청소년과/의학유전학; 이비인후과,소아청소년과/의학유전학; 신장내과; 이비인후과,중,"소아청소년과/의학유전학: 증후군, syndrome | 신장내과: 신증, neph | 이비인후과: ot"
1043,고발린혈증,Hypervalinaemia,E71.1,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1042,고쉐병,Gaucher’s disease,E75.2,V117,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1041,고암모니아혈증,Hyperammonaemia,E72.2,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1040,고양이울음증후군,Cri-du-chat syndrome,Q93.4,V205,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
1039,고전적 페닐케톤뇨증,Classical phenylketonuria,E70.0,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1038,고전적 혈우병,Classical haemophilia,D66,V009,의료비(급여부분),혈액종양내과,,혈액종양내과,중상,혈액종양내과: 혈우
1037,"고프롤린혈증(Ⅰ, Ⅱ형)","Hyperprolinaemia (typesⅠ, Ⅱ)",E72.5,V117,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1036,고하이드록시프롤린혈증,Hyperhydroxyprolinaemia,E72.5,V117,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1035,고함-스타우트 병,Gorham-Stout disease (GSD),없음,V900,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1034,고호모시스테인혈증,Hyperhomocysteinemia,E72.1,V117,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1033,"골간단연골형성이상, 슈미드형","Metaphyseal chondrodysplasia, Schmid type",Q78.5,V900,의료비(급여부분),정형외과,,정형외과,중상,"정형외과: 골, 연골, 골형성, dysplasia"
1032,골간병적조직연결,Diaphyseal aclasis,Q78.6,V242,의료비(급여부분),정형외과,,정형외과,중상,정형외과: 골
1031,골덴하 증후군,Goldenhar syndrome,Q87.0,V185,의료비(급여부분),정형외과,소아청소년과/의학유전학,소아청소년과/의학유전학; 정형외과,중상,"소아청소년과/의학유전학: 증후군, syndrome | 정형외과: 골"
1030,골드베르그-쉬프린첸 증후군,Goldberg-Shprintzen syndrome,없음,V900,의료비(급여부분),정형외과,소아청소년과/의학유전학,소아청소년과/의학유전학; 정형외과,중상,"소아청소년과/의학유전학: 증후군, syndrome | 정형외과: 골"
1029,골수형성저하,Medullary hypoplasia,D61.9,V023,의료비(급여부분),혈액종양내과,정형외과,혈액종양내과; 정형외과,중,혈액종양내과: 골수 | 정형외과: 골
1028,골취약증,Osteopsathyrosis,Q78.0,V183,의료비(급여부분),정형외과,,정형외과,중상,"정형외과: 골, oste"
1028,골취약증,Fragilitas ossium,Q78.0,V183,의료비(급여부분),정형외과,,정형외과,중상,정형외과: 골
1026,골츠 증후군,Goltz syndrome,Q82.8,V900,의료비(급여부분),정형외과,소아청소년과/의학유전학,소아청소년과/의학유전학; 정형외과,중상,"소아청소년과/의학유전학: 증후군, syndrome | 정형외과: 골"
1025,골화석증,Osteopetrosis,Q78.2,V229,의료비(급여부분),정형외과,,정형외과,중상,"정형외과: 골, oste"
1024,공통가변성 무감마글로불린혈증,Common variable agammaglobulinaemia [CVAgamma],D80.1,V111,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1023,관상골 및 척추의 성장결손을 동반한 기타 골연골형성이상,Other osteochondrodysplasia with defects of growth of tubular bones and spine,Q77.8,V228,의료비(급여부분),신장내과,소아청소년과/의학유전학; 이비인후과; 정형외과,소아청소년과/의학유전학; 신장내과; 이비인후과; 정형외과,중,"소아청소년과/의학유전학: 결손 | 신장내과: tubul | 이비인후과: ot | 정형외과: 골, 척추, 연골, 골형성"
1022,관상골 및 척추의 성장결손을 동반한 상세불명의 골연골형성이상,"Osteochondrodysplasia with defects of growth of tubular bones and spine, unspecified",Q77.9,V228,의료비(급여부분),신장내과,소아청소년과/의학유전학; 정형외과,소아청소년과/의학유전학; 신장내과; 정형외과,중,"소아청소년과/의학유전학: 결손 | 신장내과: tubul | 정형외과: 골, 척추, 연골, 골형성"
1021,관상동맥혈관의 기형,Malformation of coronary vessels,Q24.5,V148,의료비(급여부분),심장내과/소아심장과,,심장내과/소아심장과,중상,심장내과/소아심장과: 혈관
1020,괴사성 호흡기육아종증,Necrotizing respiratory granulomatosis,M31.3,V135,의료비(급여부분),호흡기내과,이비인후과,호흡기내과; 이비인후과,중,"호흡기내과: 호흡, respir | 이비인후과: ot"
1019,교차증후군,Cross syndrome,E70.3,V117,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
1018,구리대사장애,Disorders of copper metabolism,E83.0,V119,의료비(급여부분),내분비대사내과,,내분비대사내과,중상,"내분비대사내과: 대사, metab"
1017,구조적 뇌 이상 및 얼굴이형성증을 동반한 신경발달 장애[RAC3 관련],Neurodevelopmental disorder with structural brain anomalies and dysmorphic facies[RAC3 related],없음,V900,의료비(급여부분),신경과,소아청소년과/의학유전학; 비뇨의학과,신경과; 소아청소년과/의학유전학; 비뇨의학과,중,"신경과: 뇌, 신경, neu | 소아청소년과/의학유전학: developmental disorder | 비뇨의학과: uro"
1016,구축-발달지연-피에르 로빈 증후군(5장완23 미세결손 증후군),Contractures-developmental delay-Pierre Robin syndrome (5q23 microdeletion syndrome),없음,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, 결손, 미세결손, 발달지연"
1015,국소적 아밀로이드증,Localized amyloidosis,E85.4,V121,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1014,굴지 형성이상,Campomelic dysplasia,Q87.1,V900,의료비(급여부분),정형외과,,정형외과,중상,정형외과: dysplasia
1013,굿패스처증후군,Goodpasture’s syndrome,M31.0,V135,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
1012,궤양성 (만성) 범결장염,Ulcerative (chronic) pancolitis,K51.0,V131,의료비(급여부분),소화기내과,,소화기내과,중상,소화기내과: 장염
1011,궤양성 (만성) 직장염,Ulcerative (chronic) proctitis,K51.2,V131,의료비(급여부분),소화기내과,,소화기내과,중상,"소화기내과: 직장, 장염"
1010,귓바퀴-관절돌기 증후군 2,Auriculo-condylar syndrome 2,없음,V900,의료비(급여부분),정형외과,소아청소년과/의학유전학,소아청소년과/의학유전학; 정형외과,중상,"소아청소년과/의학유전학: 증후군, syndrome | 정형외과: 관절"
1009,그레이혈소판증후군,Grey platelet syndrome,D69.1,V106,의료비(급여부분),혈액종양내과,소아청소년과/의학유전학,소아청소년과/의학유전학; 혈액종양내과,중상,"소아청소년과/의학유전학: 증후군, syndrome | 혈액종양내과: 혈소판, platelet"
1008,근간대경련[헌트운동실조]을(를) 동반한 조기발병 소뇌성 운동실조,Early-onset cerebellar ataxia with myoclonus[Hunt’s ataxia],G11.1,V123,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",신경과,이비인후과,신경과; 이비인후과,중,"신경과: 뇌, 소뇌, 경련, 운동실조 | 이비인후과: ear"
1007,근골격계통의 기타 선천기형,Other congenital malformations of musculoskeletal system,Q79.8,V155,의료비(급여부분),이비인후과,소아청소년과/의학유전학; 정형외과,소아청소년과/의학유전학; 이비인후과; 정형외과,중,"소아청소년과/의학유전학: congenital | 이비인후과: ot | 정형외과: 골, 골격, skelet"
1006,근골격계통의 상세불명의 선천기형,"Congenital malformation of musculoskeletal system, unspecified",Q79.9,V155,의료비(급여부분),정형외과,소아청소년과/의학유전학,소아청소년과/의학유전학; 정형외과,중상,"소아청소년과/의학유전학: congenital | 정형외과: 골, 골격, skelet"
1005,근골격계통의 선천변형 NOS,Congenital deformity of musculoskeletal system NOS,Q79.9,V155,의료비(급여부분),정형외과,소아청소년과/의학유전학,소아청소년과/의학유전학; 정형외과,중상,"소아청소년과/의학유전학: congenital | 정형외과: 골, 골격, skelet"
1004,근골격계통의 선천이상 NOS,Congenital anomaly of musculoskeletal system NOS,Q79.9,V155,의료비(급여부분),정형외과,소아청소년과/의학유전학,소아청소년과/의학유전학; 정형외과,중상,"소아청소년과/의학유전학: congenital | 정형외과: 골, 골격, skelet"
1003,근긴장디스트로피[스타이너트],Dystrophia myotonica[Steinert],G71.1,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",이비인후과,,이비인후과,중상,이비인후과: ot
1002,근긴장이상을 동반한 고망간혈증,Hypermanganesemia with dystonia,없음,V900,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
1001,근긴장장애,Myotonic disorders,G71.1,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",이비인후과,,이비인후과,중상,이비인후과: ot
1000,근디스트로피,Muscular dystrophy,G71.0,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",신경과,,신경과,중상,"신경과: 근디스트로피, dystrophy"
999,근병증을 동반한 전신경화증,Systemic sclerosis with myopathy,M34.8,V138,의료비(급여부분),신경과,,신경과,중상,"신경과: 신경, myopath"
998,근병증을(를) 동반한 쉐그렌증후군,Sjogren’s syndrome with myopathy,M35.0,V139,의료비(급여부분),신경과,소아청소년과/의학유전학; 류마티스내과/면역내과,신경과; 소아청소년과/의학유전학; 류마티스내과/면역내과,중,"신경과: myopath | 소아청소년과/의학유전학: 증후군, syndrome | 류마티스내과/면역내과: 쉐그렌, sjogren"
997,근섬유의 특정 형태이상을 동반한 선천성 근디스트로피,Congenital muscular dystrophy with specific morphological abnormalities of the muscle fibre,G71.2,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",신경과,소아청소년과/의학유전학,신경과; 소아청소년과/의학유전학,중상,"신경과: 근디스트로피, dystrophy | 소아청소년과/의학유전학: 선천성, congenital"
996,근섬유형 불균형,Fibre-type disproportion,G71.2,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
995,근세관성 (중심핵성) 근육병증,Myotubular (centronuclear) myopathy,G71.2,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",신경과,신장내과; 이비인후과,신경과; 신장내과; 이비인후과,중,"신경과: myopath | 신장내과: tubul | 이비인후과: ear, ot"
994,근육의 결여,Absence of muscle,Q79.8,V155,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
993,근육카르니틴팔미틸트란스퍼레이스결핍,Muscle carnitine palmityltransferase deficiency,E71.3,V117,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
992,글라스증후군,Glass syndrome,없음,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
991,글라이신대사장애,Disorders of glycine metabolism,E72.5,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",내분비대사내과,,내분비대사내과,중상,"내분비대사내과: 대사, metab"
990,글란즈만병,Glanzmann’s disease,D69.1,V106,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
989,글루타르산뇨,Glutaric aciduria,E72.3,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
988,글리코젠축적병,Glycogen storage disease,E74.0,V117,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비, 옥수수전분",내분비대사내과,이비인후과,내분비대사내과; 이비인후과,중,내분비대사내과: glycogen | 이비인후과: 코
987,글리코젠축적병 1b형 A,Glycogen storage disease 1b type A,E74.0,V117,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비, 옥수수전분",내분비대사내과,이비인후과,내분비대사내과; 이비인후과,중,내분비대사내과: glycogen | 이비인후과: 코
986,글리코젠합성효소결핍,Glycogen synthase deficiency,E74.0,V117,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비, 옥수수전분",내분비대사내과,이비인후과,내분비대사내과; 이비인후과,중,내분비대사내과: glycogen | 이비인후과: 코
985,급성 간헐성 (간성) 포르피린증,Acute intermittent(hepatic) porphyria,E80.2,V118,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
984,기관 또는 계통 침범을 동반한 전신홍반루푸스,Systemic lupus erythematosus with organ or system involvement,M32.1,V136,의료비(급여부분),혈액종양내과,류마티스내과/면역내과,혈액종양내과; 류마티스내과/면역내과,중,"혈액종양내과: hem | 류마티스내과/면역내과: 루푸스, lupus"
983,기관한정아밀로이드증,Organ-limited amyloidosis,E85.4,V121,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
982,기면병 및 탈력발작,Narcolepsy and cataplexy,G47.4,V234,의료비(급여부분),신경과,,신경과,중상,신경과: 발작
981,기타 고페닐알라닌혈증,Other hyperphenylalaninaemias,E70.1,V117,"의료비(급여부분), 특수분유 및 저단백즉석밥",이비인후과,,이비인후과,중상,이비인후과: ot
980,기타 궤양성 대장염,Other ulcerative colitis,K51.8,V131,의료비(급여부분),소화기내과,이비인후과,소화기내과; 이비인후과,중,"소화기내과: 대장, 장염 | 이비인후과: ot"
979,기타 뇌전증지속상태,Other status epilepticus,G41.8,V125,의료비(급여부분),신경과,이비인후과,신경과; 이비인후과,중,"신경과: 뇌, epile | 이비인후과: ot"
978,기타 명시된 다발경화증,Other specified multiple sclerosis,G35.8,V022,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",이비인후과,,이비인후과,중상,이비인후과: ot
977,기타 및 복합부위의 사르코이드증,Sarcoidosis of other and combined sites,D86.8,V111,의료비(급여부분),류마티스내과/면역내과,이비인후과,류마티스내과/면역내과; 이비인후과,중,"류마티스내과/면역내과: 사르코이드, sarcoid | 이비인후과: 코, ot"
976,기타 뼈의 파젯병,Paget’s disease of other bones,M88.8,V213,의료비(급여부분),이비인후과,정형외과,이비인후과; 정형외과,중,"이비인후과: ot | 정형외과: 뼈, bone"
975,기타 유전성 운동실조,Other hereditary ataxias,G11.8,V123,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",신경과,소아청소년과/의학유전학; 이비인후과,신경과; 소아청소년과/의학유전학; 이비인후과,중,"신경과: 운동실조, ataxia | 소아청소년과/의학유전학: 유전 | 이비인후과: ot"
974,기타 유전성 척수성 근위축,Other inherited spinal muscular atrophy,G12.1,V123,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",신경과,소아청소년과/의학유전학; 이비인후과,신경과; 소아청소년과/의학유전학; 이비인후과,중,"신경과: 척수, 근위축, spinal | 소아청소년과/의학유전학: 유전, inherited | 이비인후과: ot"
973,기타 응고인자의 유전성 결핍,Hereditary deficiency of other clotting factors,D68.2,V009,의료비(급여부분),혈액종양내과,소아청소년과/의학유전학; 이비인후과,소아청소년과/의학유전학; 혈액종양내과; 이비인후과,중,소아청소년과/의학유전학: 유전 | 혈액종양내과: 응고 | 이비인후과: ot
972,기타 척수성 근위축 및 관련 증후군,Other spinal muscular atrophies and related syndromes,G12.8,V123,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",신경과,소아청소년과/의학유전학; 이비인후과,신경과; 소아청소년과/의학유전학; 이비인후과,중,"신경과: 척수, 근위축, spinal | 소아청소년과/의학유전학: 증후군, syndrome | 이비인후과: ot"
971,기타 피부근염,Other dermatomyositis,M33.1,V137,의료비(급여부분),피부과,이비인후과,피부과; 이비인후과,중,"피부과: 피부, dermat | 이비인후과: ot"
970,기형을 동반한 범혈구감소증,Pancytopenia with malformations,D61.0,V023,의료비(급여부분),산부인과/생식의학,,산부인과/생식의학,중상,산부인과/생식의학: peni
969,긴 QT증후군,Long QT syndrome,I49.82,V296,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
968,긴장-간대성 뇌전증지속상태,Tonic-clonic status epilepticus,G41.0,V125,의료비(급여부분),신경과,,신경과,중상,"신경과: 뇌, epile"
967,길랭-바레증후군,Guillain-Barré syndrome,G61.0,V126,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
966,나팔꽃 증후군,Morning glory syndrome,Q14.2,V900,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
965,낙엽천포창,Pemphigus foliaceus,L10.2,V210,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
964,난청-뇌병증-유사 리이를 동반한 3-메틸클루타코닉 산뇨 (MEGDEL) 증후군,3-methylglutaconic aciduria with deafness-encephalopathy-Leigh-like(MEGDEL) syndrome,없음,V900,의료비(급여부분),신경과,소아청소년과/의학유전학; 이비인후과,신경과; 소아청소년과/의학유전학; 이비인후과,중,"신경과: 뇌, 뇌병증, encephal | 소아청소년과/의학유전학: 증후군, syndrome | 이비인후과: 난청, 코, deaf"
963,낭성 섬유증에서의 태변장폐색,Meconium ileus in cystic fibrosis,E84.1,V120,의료비(급여부분),호흡기내과,소화기내과,호흡기내과; 소화기내과,중,호흡기내과: 폐 | 소화기내과: 장폐색
962,내연골종증,Enchondromatosis,Q78.4,V230,의료비(급여부분),정형외과,,정형외과,중상,"정형외과: 골, 연골"
961,네말린근육병증,Nemaline myopathy,G71.2,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",신경과,,신경과,중상,신경과: myopath
960,네젤로프증후군,Nezelof’s syndrome,D81.4,V111,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
959,넬슨증후군,Nelson’s syndrome,E24.1,V114,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
958,노년성 황반변성(삼출성),Senile macular degeneration (exudative),H35.31,V201,의료비(급여부분),안과,,안과,중상,"안과: 황반, macul"
957,노리에병,Norrie disease,없음,V900,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
956,노출림프구증후군,Bare lymphocyte syndrome,D81.6,V111,의료비(급여부분),혈액종양내과,소아청소년과/의학유전학,소아청소년과/의학유전학; 혈액종양내과,중상,"소아청소년과/의학유전학: 증후군, syndrome | 혈액종양내과: 림프, lymph"
955,뇌-폐-갑상선 증후군,Brain-lung-thyroid syndrome,없음,V900,의료비(급여부분),신경과,소아청소년과/의학유전학; 호흡기내과; 내분비대사내과,신경과; 소아청소년과/의학유전학; 호흡기내과; 내분비대사내과,중,"신경과: 뇌 | 소아청소년과/의학유전학: 증후군, syndrome | 호흡기내과: 폐, lung | 내분비대사내과: 갑상선, thyroid"
954,뇌간(∼의) 다발경화증,Multiple sclerosis (of) brain stem,G35,V022,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",신경과,,신경과,중상,신경과: 뇌
953,뇌전증 소발작지속상태,Epileptic absence status,G41.1,V125,의료비(급여부분),신경과,,신경과,중상,"신경과: 뇌, 발작, epile"
952,뇌전증에 동반된 후천성 실어증(失語症)[란다우-클레프너],Acquired aphasia with epilepsy [Landau-Kleffner],F80.3,V256,의료비(급여부분),신경과,,신경과,중상,"신경과: 뇌, epile"
951,뇌하수체 부신피질자극호르몬의 과다생산,Overproduction of pituitary ACTH,E24.0,V114,의료비(급여부분),신경과,내분비대사내과,신경과; 내분비대사내과,중,신경과: 뇌 | 내분비대사내과: 부신
950,뇌하수체-의존 부신피질기능항진증,Pituitary-dependent hyperadrenocorticism,E24.0,V114,의료비(급여부분),신경과,내분비대사내과,신경과; 내분비대사내과,중,신경과: 뇌 | 내분비대사내과: 부신
949,뇌하수체-의존 쿠싱병,Pituitary-dependent Cushing’s disease,E24.0,V114,의료비(급여부분),신경과,,신경과,중상,신경과: 뇌
948,뇌하수체의 양성 신생물,Benign neoplasm of pituitary gland,D35.2,V162,의료비(급여부분),신경과,,신경과,중상,신경과: 뇌
947,누난 증후군,Noonan syndrome,Q87.1,V158,의료비(급여부분),소아청소년과/의학유전학,,소아청소년과/의학유전학,하,"소아청소년과/의학유전학: 증후군, syndrome"
946,눈 근디스트로피,Ocular muscular dystrophy,G71.0,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",안과,신경과,안과; 신경과,중,"안과: ocular | 신경과: 근디스트로피, dystrophy"
945,눈 운동 이상과 운동실조를 동반한 신경발달장애(FRMD5 관련),Neurodevelopmental disorder with eye movement abnormalities and ataxia(FRMD5 related),없음,V900,의료비(급여부분),안과,신경과; 소아청소년과/의학유전학; 비뇨의학과,안과; 신경과; 소아청소년과/의학유전학; 비뇨의학과,중,"안과: eye | 신경과: 신경, 운동실조, neu, ataxia | 소아청소년과/의학유전학: 발달장애, developmental disorder | 비뇨의학과: uro"
944,눈백색증,Ocular albinism,E70.3,V117,의료비(급여부분),안과,,안과,중상,안과: ocular
943,눈인두성 근디스트로피,Oculopharyngeal muscular dystrophy,G71.0,V012,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",신경과,,신경과,중상,"신경과: 근디스트로피, dystrophy"
942,눈피부백색증,Oculocutaneous albinism,E70.3,V117,의료비(급여부분),피부과,,피부과,중상,피부과: 피부
941,니만-피크병,Niemann-Pick’s disease,E75.2,V117,의료비(급여부분),미분류,,미분류,하,미분류: 명시적 진료과 키워드 미검출
